date,StockCode,open,high,low,close,volume,Type,Title,PublishTime,URL,Head,Content,ArticleID,Page
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12506 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12506-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325694.htm,,,1325694.0,18.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12507 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12507-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325695.htm,,,1325695.0,18.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12509 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12509-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325696.htm,,,1325696.0,18.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12510 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12510-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325697.htm,,,1325697.0,18.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12513 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12513-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325698.htm,,,1325698.0,19.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Trái phiếu doanh nghiệp,CBTT về việc đăng ký giao dịch trái phiếu BID12511 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-07 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12511-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1325701.htm,,,1325701.0,19.0
2025-07-07,BID,36.25,36.79,36.25,36.79,11244684,Tin mới nhất,BID: Quyết định về việc phê duyệt thay đổi mẫu con dấu,2025-07-07 17:06:54,/2025/07/bid-quyet-dinh-ve-viec-phe-duyet-thay-doi-mau-con-dau-830-1325753.htm,,,1325753.0,37.0
2025-07-08,BID,36.79,37.09,36.59,37.09,7368451,,,,,,,,
2025-07-09,BID,37.24,38.03,37.09,37.78,11145800,Tin mới nhất,Lãi suất có thể tăng nhẹ về cuối năm,2025-07-09 13:02:00,/2025/07/lai-suat-co-the-tang-nhe-ve-cuoi-nam-757-1326141.htm,"Lãi suất huy động có xu hướng tăng nhẹ trong quý cuối năm, do yếu tố mùa vụ và áp lực cạnh tranh thu hút dòng tiền tiết kiệm quay lại hệ thống ngân hàng, sau thời gian dài dòng vốn chảy mạnh sang các kênh đầu tư rủi ro hơn như chứng khoán, bất động sản và trái phiếu doanh nghiệp.",,1326141.0,37.0
2025-07-10,BID,38.08,38.27,37.63,37.83,7739790,Tin mới nhất,CBTT về việc đăng ký giao dịch trái phiếu BID12512 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2025-07-10 00:00:00,/2025/07/cbtt-ve-viec-dang-ky-giao-dich-trai-phieu-bid12512-cua-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam-3118-1328261.htm,,,1328261.0,36.0
